word,syllable_thai,syllable_roman,onset,vowel,coda,has_long_vowel,ipa,g2p
เพิ่ง,เพิ่ง,phoeng,ph,oe,ng,True,pʰɤːŋ3,ph@@N2
คนไทย,คน,khon,kh,o,n,False,kʰon1,khon0
คนไทย,ไทย,thai,th,ai,,False,tʰaj1,thaj0
กลมกล่อม,กลม,klom,kl,o,m,False,klom1,klom0
กลมกล่อม,กล่อม,klom,kl,o,m,True,klᴐːm2,klOOm1
ปาก,ปาก,pak,p,a,k,True,paːk2,paak1
ไส้,ไส้,sai,s,ai,,False,saj3,saj2
แต่ละ,แต่,tae,t,ae,,True,tɛː2,txx1
แต่ละ,ละ,la,l,a,,False,la4,la3
เรียกร้อง,เรียก,riak,r,ia,k,True,riːak3,riiak2
เรียกร้อง,ร้อง,rong,r,o,ng,True,rᴐːŋ4,rOON3
อาการ,อา,a,,a,,True,ʔaː1,?aa0
อาการ,การ,kan,k,a,n,True,kaːn1,kaan0
ครั้งนี้,ครั้ง,khrang,khr,a,ng,False,kʰraŋ4,khraN3
ครั้งนี้,นี้,ni,n,i,,True,niː4,nii3
ปริมาณ,ปริ,pari,p,ari,,False,pa2,pa1'ri3
ปริมาณ,มาณ,man,m,a,n,True,ri4,maan0
กรุงเทพ,กรุง,krung,kr,u,ng,False,kruŋ1,kruN0
กรุงเทพ,เทพ,thep,th,e,p,True,tʰeːp3,theep2
ช้า,ช้า,cha,ch,a,,True,cʰaː4,chaa3
โซน,โซน,son,s,o,n,True,soːn1,soon0
เลิก,เลิก,loek,l,oe,k,True,lɤːk3,l@@k2
เชื่อ,เชื่อ,chuea,ch,uea,,True,cʰɯːa3,chUUa2
ห้าง,ห้าง,hang,h,a,ng,True,haːŋ3,haaN2
บาบี,บา,ba,b,a,,True,baː1,baa0
บาบี,บี,bi,b,i,,True,biː1,bii0
ร่า,ร่า,ra,r,a,,True,raː3,raa2
ตรวจ,ตรวจ,truat,tr,ua,t,True,truːat2,truuat1
นอก,นอก,nok,n,o,k,True,nᴐːk3,nOOk2
ประชา,ประ,pra,pr,a,,False,pra2,pra1
ประชา,ชา,cha,ch,a,,True,cʰaː1,chaa0
จัดการ,จัด,chat,ch,a,t,False,cat2,cat1
จัดการ,การ,kan,k,a,n,True,kaːn1,kaan0
สินค้า,สิน,sin,s,i,n,False,sin5,sin4
สินค้า,ค้า,kha,kh,a,,True,kʰaː4,khaa3
คณะ,คณะ,khana,kh,ana,,False,kʰa4,kha3'na3
อยู่แล้ว,อยู่,yu,y,u,,True,juː2,juu1
อยู่แล้ว,แล้ว,laeo,l,aeo,,True,lɛːw4,lxxw3
นอกจากนี้,นอก,nok,n,o,k,True,nᴐːk3,nOOk2
นอกจากนี้,จาก,chak,ch,a,k,True,caːk2,caak1
นอกจากนี้,นี้,ni,n,i,,True,niː4,nii3
เหนียว,เหนียว,niao,n,iao,,True,niːaw5,niiaw4
ห้าม,ห้าม,ham,h,a,m,True,haːm3,haam2
ยก,ยก,yok,y,o,k,False,jok4,jok3
เส,เส,se,s,e,,True,seː5,see4
เติม,เติม,toem,t,oe,m,True,tɤːm1,t@@m0
ดาว,ดาว,dao,d,ao,,True,daːw1,daaw0
สู้,สู้,su,s,u,,True,suː3,suu2
เตรียม,เตรียม,triam,tr,ia,m,True,triːam1,triiam0
พริก,พริก,phrik,phr,i,k,False,pʰrik4,phrik3
หยุด,หยุด,yut,y,u,t,False,jut2,jut1
เครือข่าย,เครือ,khruea,khr,uea,,True,kʰrɯːa1,khrUUa0
เครือข่าย,ข่าย,khai,kh,ai,,True,kʰaːj2,khaaj1
พล,พล,phon,ph,o,n,False,pʰon1,phon0
ชาเขียว,ชา,chak,ch,a,k,True,cʰaː1,chaa0
ชาเขียว,เขียว,hiao,h,iao,,True,kʰiːaw5,khiiaw4
ผสม,ผสม,phasom,ph,aso,m,False,pʰa2,pha1'som4
ขาว,ขาว,khao,kh,ao,,True,kʰaːw5,khaaw4
จบ,จบ,chop,ch,o,p,False,cop2,cop1
เลือกตั้ง,เลือก,lueak,l,uea,k,True,lɯːak3,lUUak2
เลือกตั้ง,ตั้ง,tang,t,a,ng,False,taŋ3,taN2
จุด,จุด,chut,ch,u,t,False,cut2,cut1
ส้มตำ,ส้ม,som,s,o,m,False,som3,som2
ส้มตำ,ตำ,tam,t,a,m,False,tam1,tam0
แก้ไข,แก้,kae,k,ae,,True,kɛː3,kxx2
แก้ไข,ไข,khai,kh,ai,,False,kʰaj5,khaj4
เดียวกัน,เดียว,diao,d,iao,,True,diːaw1,diiaw0
เดียวกัน,กัน,kan,k,a,n,False,kan1,kan0
ทักษิณ,ทัก,thak,th,a,k,False,tʰak4,thak3
ทักษิณ,ษิณ,sin,s,i,n,False,sin5,sin4
อยากได้,อยาก,yak,y,a,k,True,jaːk2,jaak1
อยากได้,ได้,dai,d,ai,,True,daːj3,daaj2
สู่,สู่,su,s,u,,True,suː2,suu1
พยายาม,พยา,phaya,ph,aya,,True,pʰa4,pha3'jaa0
พยายาม,ยาม,yam,y,a,m,True,jaː1,jaam0
กลาง,กลาง,klang,kl,a,ng,True,klaːŋ1,klaaN0
ดัง,ดัง,dang,d,a,ng,False,daŋ1,daN0
เกี่ยวข้อง,เกี่ยว,kiao,k,iao,,True,kiːaw2,kiiaw1
